protein_id,all_count,valid_count,total_unique_count,intersection_count
ALX3,336781,336701,151063,67
ALX4,5159539,5159290,1946739,898
AR,2250446,2249546,1116328,622
ARNTL,2021565,2021452,1557409,822
ARX,1324032,1323723,1109695,679
ATF4,2687716,2687502,1992452,1003
ATF7,2094093,2094090,1688239,2
Alx1,2648368,2647764,608987,303
Alx4,3558192,3557893,1366067,953
Ar,4636886,4636514,2464167,1834
Arx,333527,327442,294700,151
Ascl2,425545,425441,164340,148
Atf4,28871,28862,3901,0
Atoh1,1601470,1601106,727491,349
BARHL2,1907015,1906268,1348666,218
BARX1,174399,174320,135524,63
BATF3,482352,473579,445794,259
BCL6B,787864,783415,519273,336
BHLHA15,545549,545456,222690,129
BHLHB2,839693,839511,359966,146
BHLHB3,867657,866287,32905,14
BHLHE22,1280954,1280510,158448,93
BHLHE23,1052440,1052073,235376,120
BHLHE41,363446,361444,222102,96
BSX,3423206,3421980,369420,168
Barhl1,301326,301175,137661,75
Bhlhb2,6770058,6768567,1596477,508
CART1,2545522,2544610,481478,232
CDX1,2795126,2794197,1619321,869
CDX2,2527569,2526721,754561,381
CEBPB,4817592,4817323,2858322,1233
CEBPD,3195779,3194646,383078,190
CEBPE,1987652,1987569,1053986,458
CEBPG,3493427,3493066,1079237,419
CENPB,480901,478136,178213,71
CLOCK,475398,475284,370424,261
CPEB1,160290,160217,146040,132
CREB3,819673,818483,637169,417
CREB3L1,3655681,3655388,1709510,654
CTCF,0,0,0,0
CUX1,1417023,1416477,610404,118
CUX2,1501736,1501098,371205,129
Cebpb,291845,291704,268128,90
Creb3l2,2258977,2258485,1577697,850
Creb5,1631028,1630639,314624,218
DBP,3204135,3195072,2031247,645
DLX1,1452377,1452038,658412,386
DLX2,2098031,2097599,851535,394
DLX3,3540813,3539593,365051,186
DLX4,219339,219242,147349,72
DLX5,12604,12602,10652,148
DLX6,898314,898254,134317,67
DMBX1,1001167,982854,965101,376
DPRX,3215807,3215468,1896473,1
DRGX,760241,760098,77183,36
DUXA,1979445,1979048,351184,157
Dbp,1809729,1582250,356636,169
Dlx1,3676988,3676719,2207895,1941
Dlx2,280845,280729,258303,117
E2F1,3797882,3797776,2211606,26852
E2F2,2074672,2074573,1744699,879
E2F3,2347848,2347445,630723,328
E2F4,66939,66935,52288,1063
E2F7,2972015,2971862,1742698,825
E2F8,19249,19242,7191,132
EBF1,187529,187454,146555,224
EGR1,1132537,1132309,596577,318
EGR2,4574168,4573855,1941954,1048
EGR3,2224122,2223760,1457690,953
EGR4,731894,731600,641075,21
EHF,0,0,0,0
ELF1,2031777,2031017,1571950,843
ELF3,1473552,1472964,416584,200
ELF4,0,0,0,0
ELF5,4723254,4722608,2143841,951
ELK1,2149521,2149180,1474930,540
ELK3,608772,597819,466041,179
ELK4,0,0,0,0
EMX1,3359536,3359129,1812789,1
EMX2,2886536,2886214,1916533,0
EN1,4155789,4154687,3471093,1694
EN2,913781,896950,888859,444
